Observación	Modelo	Mejor Ajuste	Parámetro
Obser_7_6	L_P	-21.0374502171	a
Obser_7_6	L_P	-0.593364381016	b
Obser_7_6	L_P	2.92588682273	c
Obser_7_6	L_P	13.1477985332	d
Obser_7_6	L_P	0.40510093672	e
Obser_7_6	L_P	8314.69302333	Likelihood
Obser_7_7	L_P	-57.690879775	a
Obser_7_7	L_P	8.03085651107	b
Obser_7_7	L_P	25.1730284997	c
Obser_7_7	L_P	-1.98532041838	d
Obser_7_7	L_P	2.95676880546	e
Obser_7_7	L_P	470.844779625	Likelihood
Obser_7_8	L_P	6.43311843392	a
Obser_7_8	L_P	-4.99268502202	b
Obser_7_8	L_P	17.0581598445	c
Obser_7_8	L_P	1.36899148995	d
Obser_7_8	L_P	4.8765388994	e
Obser_7_8	L_P	1124.23593272	Likelihood
Obser_7_9	L_P	17.3208101473	a
Obser_7_9	L_P	-5.25336426855	b
Obser_7_9	L_P	12.4725563415	c
Obser_7_9	L_P	1.45860648489	d
Obser_7_9	L_P	4.71096126186	e
Obser_7_9	L_P	778.356401427	Likelihood
Obser_8_0	L_G	109.078425025	a
Obser_8_0	L_G	-5.55652498981	b
Obser_8_0	L_G	0.0394403453005	c
Obser_8_0	L_G	2.52273547689	d
Obser_8_0	L_G	1996.58782783	Likelihood
Obser_8_1	L_P	15.230256676	a
Obser_8_1	L_P	1.58029525317	b
Obser_8_1	L_P	39.3051178595	c
Obser_8_1	L_P	-0.336561299279	d
Obser_8_1	L_P	5.06783425322	e
Obser_8_1	L_P	776.503153624	Likelihood
Obser_8_2	L_P	41.4694806898	a
Obser_8_2	L_P	-6.66357421358	b
Obser_8_2	L_P	19.9826332047	c
Obser_8_2	L_P	1.19541219572	d
Obser_8_2	L_P	0.920738763011	e
Obser_8_2	L_P	1157.16919996	Likelihood
Obser_8_3	L_P	5.74015260381	a
Obser_8_3	L_P	-4.52515020505	b
Obser_8_3	L_P	22.2473183072	c
Obser_8_3	L_P	1.35252193423	d
Obser_8_3	L_P	0.495959842027	e
Obser_8_3	L_P	1505.81931766	Likelihood
